Crop,City,Necessary_Measures
Moong(Green Gram),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moth,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,West Bengal,"Use disease-free seeds, precision irrigation, organic manure."
Potato,West Bengal,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,West Bengal,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,West Bengal,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,West Bengal,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sannhamp,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,West Bengal,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,West Bengal,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,West Bengal,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Bihar,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Bihar,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Gram,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Khesari,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Bihar,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Bihar,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Bihar,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Bihar,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Bihar,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Bihar,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sannhamp,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Bihar,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Bihar,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Bihar,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Chhattisgarh,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Bajra,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Chhattisgarh,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coconut ,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coriander,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Chhattisgarh,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Garlic,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jute,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Khesari,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Chhattisgarh,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Mesta,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Chhattisgarh,"Use disease-free seeds, precision irrigation, organic manure."
Potato,Chhattisgarh,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Chhattisgarh,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sannhamp,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Chhattisgarh,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sweet potato,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Chhattisgarh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Chhattisgarh,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Gujarat,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Bajra,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Banana,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Gujarat,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Cotton(lint),Gujarat,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Garlic,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Guar seed,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Gujarat,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Gujarat,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Gujarat,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Moong(Green Gram),Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moth,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Cereals,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Gujarat,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Gujarat,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Gujarat,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Gujarat,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Tobacco,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Gujarat,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Gujarat,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Haryana,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Haryana,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Coriander,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Haryana,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Garlic,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Haryana,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moth,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Haryana,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Haryana,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Haryana,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Haryana,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
other oilseeds,Haryana,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Arhar/Tur,Himachal Pradesh,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Coriander,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Himachal Pradesh,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Dry chillies,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Garlic,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Himachal Pradesh,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moth,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Onion,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Himachal Pradesh,"Use disease-free seeds, precision irrigation, organic manure."
Potato,Himachal Pradesh,"Use disease-free seeds, precision irrigation, organic manure."
Ragi,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Himachal Pradesh,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Himachal Pradesh,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Tobacco,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Turmeric,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Himachal Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Himachal Pradesh,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Madhya Pradesh,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Barley,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cotton(lint),Madhya Pradesh,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Gram,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Horse-gram,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Madhya Pradesh,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rapeseed &Mustard,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Madhya Pradesh,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Madhya Pradesh,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Urad,Madhya Pradesh,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Madhya Pradesh,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Maharashtra,"Promote intercropping, biofertilizers, efficient irrigation."
Bajra,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Castor seed,Maharashtra,"Use drought-resistant varieties, minimal fertilizer use, organic manure."
Cotton(lint),Maharashtra,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Gram,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Jowar,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Linseed,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Maharashtra,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Maharashtra,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Maharashtra,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Moong(Green Gram),Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Niger seed,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ragi,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Maharashtra,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Maharashtra,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Safflower,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sesamum,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Small millets,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Maharashtra,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Sunflower,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sunflower,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Tobacco,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Maharashtra,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Maharashtra,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Manipur,"Promote intercropping, biofertilizers, efficient irrigation."
Banana,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cashewnut,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cowpea(Lobia),Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Dry chillies,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Ginger,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Gram,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Groundnut,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Manipur,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Manipur,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Masoor,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Moong(Green Gram),Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other  Rabi pulses,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Peas & beans (Pulses),Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Manipur,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Manipur,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Soyabean,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Sugarcane,Manipur,"Improve irrigation efficiency, use bio-fertilizers, trash mulching."
Turmeric,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Urad,Manipur,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Wheat,Manipur,"Use drip irrigation, rotate with legumes, reduce synthetic fertilizers."
Arhar/Tur,Mizoram,"Promote intercropping, biofertilizers, efficient irrigation."
Cotton(lint),Mizoram,"Adopt organic cotton practices, drip irrigation, integrated pest management."
Cowpea(Lobia),Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Cowpea(Lobia),Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Maize,Mizoram,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Maize,Mizoram,"Promote intercropping, minimal tillage, nitrogen-efficient fertilizers."
Other  Rabi pulses,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Other Kharif pulses,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Potato,Mizoram,"Use disease-free seeds, precision irrigation, organic manure."
Potato,Mizoram,"Use disease-free seeds, precision irrigation, organic manure."
Rapeseed &Mustard,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Rice,Mizoram,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Mizoram,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Rice,Mizoram,"Adopt alternate wetting & drying irrigation, reduce methane emissions, use organic manure."
Sesamum,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
Soyabean,Mizoram,"Adopt sustainable irrigation, reduce chemical inputs, promote crop diversification."
